AGENCY,DESCRIPTION,UPLOADED ON,LINK,VALUE
CONSUMER FINANCIAL PROTECTION BUREAU,IT RESEARCH & ADVISORY SUBSCRIPTIONS,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022F00009&modNumber=P00007&idvAgencyID=&idvPIID=47QTCA18D008L&contractType=AWARD,"$3,437,246 "
CONSUMER FINANCIAL PROTECTION BUREAU,POLITICO PRO,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0012&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$635,375 "
CONSUMER FINANCIAL PROTECTION BUREAU,CONTRACTOR SUPPORT SERVICES FOR EDITORIAL SUPPORT,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0078&modNumber=P00006&idvAgencyID=&idvPIID=9531CB23A0018&contractType=AWARD,"$4,457,776 "
CONSUMER FINANCIAL PROTECTION BUREAU,ECONOMIC ANAYSIS EXPERT SUPPORT,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20C0016&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,"$3,299,900 "
CONSUMER FINANCIAL PROTECTION BUREAU,508 SUPPORT SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0008&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"$3,713,712 "
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER CREDIT INFORMATION PANEL IDIQ CONTRACT - AUTO LOAN SURVEY,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00052&modNumber=P00001&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD,"$899,985 "
CONSUMER FINANCIAL PROTECTION BUREAU,CYBERSECURITY SUPPORT SERVICES - INFORMATION SECURITY STANDARDS (ISS),2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00004&modNumber=P00004&idvAgencyID=&idvPIID=20343023A00005&contractType=AWARD,"$3,441,633 "
CONSUMER FINANCIAL PROTECTION BUREAU,CYBERSECURITY SUPPORT SERVICES BPA ORDER - SECURITY ARCHITECTURE AND ENGINEERING (SAE),2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00005&modNumber=P00004&idvAgencyID=&idvPIID=20343023A00003&contractType=AWARD,"$5,405,885 "
CONSUMER FINANCIAL PROTECTION BUREAU,OMWI Training Support - DEIA Training Termination,1/29/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24A0008&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA20D003C&contractType=IDV,"$9,999,999 "
CONSUMER FINANCIAL PROTECTION BUREAU,OMWI Training Support - Psychological Safety - Termination,1/29/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24A0009&modNumber=P00001&idvAgencyID=&idvPIID=47QSEA21D004D&contractType=IDV,"$9,999,999 "
CONSUMER FINANCIAL PROTECTION BUREAU,"BPA CALL 0002 - FURNITURE, FIXTURES AND EQUIPMENT (FF&E) FOR THE CONSUMER FINANCIAL PROTECTION BUREAU",2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0039&modNumber=P00001&idvAgencyID=&idvPIID=9531CB22A0002&contractType=AWARD,"$8,295 "
CONSUMER FINANCIAL PROTECTION BUREAU,"DESIGN, DEVELOPMENT, AND HOSTING OF LEARNING MODULES",2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0018&modNumber=P00001&idvAgencyID=&idvPIID=GS02F0111U&contractType=AWARD,"$38,648 "
CONSUMER FINANCIAL PROTECTION BUREAU,SQL TRAINING,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0083&modNumber=0&idvAgencyID=&idvPIID=47QREA24D000E&contractType=AWARD,"$40,810 "
CONSUMER FINANCIAL PROTECTION BUREAU,DELL POWEREDGE SERVER MAINTENANCE,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00017&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD24B&contractType=AWARD,"$41,901 "
CONSUMER FINANCIAL PROTECTION BUREAU,JIRA LICENSES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0014&modNumber=0&idvAgencyID=&idvPIID=NNG15SD42B&contractType=AWARD,"$43,850 "
CONSUMER FINANCIAL PROTECTION BUREAU,SCANWRITER SOFTWARE LICENSE AND MAINTENANCE,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022F00040&modNumber=P00003&idvAgencyID=&idvPIID=47QTCA18D005U&contractType=AWARD,"$49,586 "
CONSUMER FINANCIAL PROTECTION BUREAU,SECUREAUTH IDP LICENSE RENEWAL,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00051&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD00B&contractType=AWARD,"$49,667 "
CONSUMER FINANCIAL PROTECTION BUREAU,LINKEDIN LEARNING LICENSES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0045&modNumber=0&idvAgencyID=&idvPIID=47QSWA18D008F&contractType=AWARD,"$52,866 "
CONSUMER FINANCIAL PROTECTION BUREAU,AVENIR NEXT FONT LICENSE,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0077&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD76B&contractType=AWARD,"$56,710 "
CONSUMER FINANCIAL PROTECTION BUREAU,CYBERFEDS LICENSES.,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0038&modNumber=P00002&idvAgencyID=&idvPIID=47QTCA20D002P&contractType=AWARD,"$58,370 "
CONSUMER FINANCIAL PROTECTION BUREAU,ACCELLION KITEWORKS ENTERPRISE,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00044&modNumber=P00003&idvAgencyID=&idvPIID=NNG15SC77B&contractType=AWARD,"$62,420 "
CONSUMER FINANCIAL PROTECTION BUREAU,VIRUSTOTAL BASIC SUBSCRIPTION,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0073&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD74B&contractType=AWARD,"$62,956 "
CONSUMER FINANCIAL PROTECTION BUREAU,RSTUDIO SERVER PRO MAINTENANCE RENEWAL,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00046&modNumber=0&idvAgencyID=&idvPIID=NNG15SD06B&contractType=AWARD,"$72,546 "
CONSUMER FINANCIAL PROTECTION BUREAU,THE ECONOMIST SUBSCRIPTION,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021F00006&modNumber=P00009&idvAgencyID=&idvPIID=03310319D0022&contractType=AWARD,"$77,777 "
CONSUMER FINANCIAL PROTECTION BUREAU,EXCEED ON DEMAND LICENSE RENEWAL,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023F00033&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD38B&contractType=AWARD,"$79,874 "
CONSUMER FINANCIAL PROTECTION BUREAU,CAPITOL FORUM SUBSCRIPTION,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022P00009&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"$82,884 "
CONSUMER FINANCIAL PROTECTION BUREAU,LEADERSHIP CONNECT,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0016&modNumber=P00003&idvAgencyID=&idvPIID=03310319D0074&contractType=AWARD,"$85,300 "
CONSUMER FINANCIAL PROTECTION BUREAU,LINKEDIN SUBSCRIPTION SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0008&modNumber=0&idvAgencyID=&idvPIID=47QSWA18D008F&contractType=AWARD,"$88,960 "
CONSUMER FINANCIAL PROTECTION BUREAU,O'REILLY LEARNING PLATFORM,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00033&modNumber=0&idvAgencyID=&idvPIID=47QTCA19D0022&contractType=AWARD,"$95,340 "
CONSUMER FINANCIAL PROTECTION BUREAU,LIGHTBEND AKKA ENTERPRISE SUBSCRIPTION,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00036&modNumber=0&idvAgencyID=&idvPIID=NNG15SC23B&contractType=AWARD,"$97,492 "
CONSUMER FINANCIAL PROTECTION BUREAU,MEDIATION SUPPORT SERVICES BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22A0024&modNumber=P00003&idvAgencyID=&idvPIID=GS02F0116T&contractType=IDV,"$250,000 "
CONSUMER FINANCIAL PROTECTION BUREAU,AXWAY PREMIER LEVEL MAINTENANCE SUPPORT,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022F00044&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD11B&contractType=AWARD,"$259,447 "
CONSUMER FINANCIAL PROTECTION BUREAU,NUTANIX HARDWARE DESKTOP ENGINEERING LAB SYSTEM UPGRADE,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0039&modNumber=0&idvAgencyID=&idvPIID=NNG15SC71B&contractType=AWARD,"$263,402 "
CONSUMER FINANCIAL PROTECTION BUREAU,EBSCO HOST SUBSCRIPTION,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0067&modNumber=0&idvAgencyID=&idvPIID=03310323D0067&contractType=AWARD,"$270,845 "
CONSUMER FINANCIAL PROTECTION BUREAU,GRANICUS INC. (GOVDELIVERY) LICENSE RENEWAL,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0033&modNumber=0&idvAgencyID=&idvPIID=NNG15SC71B&contractType=AWARD,"$275,319 "
CONSUMER FINANCIAL PROTECTION BUREAU,NATIONAL CONSUMER LAW CENTER LIBRARY ACCESS,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021C00006&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD,"$287,030 "
CONSUMER FINANCIAL PROTECTION BUREAU,LEAPTREE OPTIMIZE LICENSES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20F0053&modNumber=P00006&idvAgencyID=&idvPIID=NNG15SC05B&contractType=AWARD,"$305,382 "
CONSUMER FINANCIAL PROTECTION BUREAU,QMULOS AUDIT/COMPLIANCE APPS,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0064&modNumber=0&idvAgencyID=&idvPIID=NNG15SD76B&contractType=AWARD,"$310,631 "
CONSUMER FINANCIAL PROTECTION BUREAU,HANDSHAKE SUBSCRIPTION SERVICE,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0006&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$341,685 "
CONSUMER FINANCIAL PROTECTION BUREAU,AXONIUS SECURITY ASSET MANAGEMENT PLATFORM,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0100&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD00B&contractType=AWARD,"$359,966 "
CONSUMER FINANCIAL PROTECTION BUREAU,RADIANT LOGIC LICENSES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021F00073&modNumber=P00004&idvAgencyID=&idvPIID=NNG15SD09B&contractType=AWARD,"$422,875 "
CONSUMER FINANCIAL PROTECTION BUREAU,ADOBE LICENSE RENEWAL,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00047&modNumber=0&idvAgencyID=&idvPIID=NNG15SD09B&contractType=AWARD,"$434,585 "
CONSUMER FINANCIAL PROTECTION BUREAU,ENTERPRISE DB POSTGRES ADVANCED SERVER RENEWAL,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0037&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC23B&contractType=AWARD,"$441,306 "
